ABC,MCMC,SMC
0.1799,1.551602,0.789488
0.132668,1.501199,0.823201
0.099659,1.527466,0.819176
0.101519,1.55534,0.79591
0.103844,1.558165,0.791381
0.101734,1.541709,0.790403
0.101682,1.531704,0.791499
0.134982,1.519017,0.790631
0.132451,1.511275,0.82251
0.09788,1.541658,0.822603
0.101589,1.564424,0.872085
0.101714,1.545629,0.785015
0.101298,1.550469,0.792496
0.101237,1.57487,0.789867
0.100697,1.538857,0.787783
0.135472,1.503223,0.78776
0.13323,1.538028,0.789076
0.132715,1.533719,0.819803
0.101852,1.5701,0.793014
0.100901,1.547785,0.790551
0.101698,1.523125,0.792473
0.10159,1.548904,0.872672
0.101723,1.584561,0.790709
0.101209,1.55604,0.790097
0.13439,1.535689,0.789285
0.132918,1.503919,0.823584
0.097937,1.519309,0.824989
0.101201,1.552623,0.788812
0.102024,1.578789,0.792498
0.100478,1.532162,0.790546
0.101103,1.539237,0.786215
0.101098,1.568933,0.794911
0.10078,1.55086,0.870496
0.101339,1.484581,0.791372
0.135381,1.52276,0.787724
0.132301,1.522169,0.785117
0.132954,1.508168,0.822452
0.100032,1.535,0.824563
0.101274,1.5592,0.793817
0.101811,1.563518,0.792199
0.101181,1.553125,0.789008
0.101295,1.538756,0.789172
0.101585,1.553401,0.789675
0.100613,1.63078,0.791639
0.101411,1.537463,0.795361
0.101447,1.557945,0.791707
0.135258,1.537869,0.788839
0.13333,1.525998,0.791904
0.14319,1.527738,0.822965
0.098918,1.508245,0.820054
0.101598,1.501312,0.819436
0.101104,1.547037,0.790623
0.102047,1.511686,0.790414
0.10227,1.525502,0.791047
0.101135,1.630796,0.791813
0.100764,1.566654,0.79258
0.101598,1.551811,0.792938
0.100555,1.555458,0.791766
0.101973,1.555526,0.790801
0.10052,1.54181,0.792473
0.100132,1.549312,0.788122
0.13556,1.536862,0.787883
0.135499,1.51106,0.792013
0.133378,1.536581,0.788443
0.13317,1.524871,0.790261
0.132838,1.616124,0.823569
0.098577,1.542343,0.822392
0.09888,1.498451,0.819028
0.101972,1.544562,0.819956
0.10139,1.550809,0.789393
0.101552,1.566682,0.790855
0.101927,1.553139,0.790917
0.101802,1.532819,0.792964
0.101225,1.552233,0.791264
0.102751,1.542261,0.791099
0.101547,1.545528,0.792218
0.101528,1.64727,0.786458
0.101388,1.547251,0.793871
0.101631,1.564842,0.790265
0.100837,1.553873,0.792398
0.100787,1.528398,0.793301
0.101415,1.52103,0.79232
0.101396,1.545724,0.787767
0.101063,1.581772,0.790701
0.10179,1.545686,0.791549
0.10157,1.563564,0.790992
0.101377,1.542129,0.793291
0.100486,1.627671,0.791433
0.100945,1.543885,0.790659
0.100569,1.570208,0.792106
0.101565,1.567925,0.793457
0.100715,1.552662,0.796128
0.101273,1.541399,0.79396
0.101359,1.555038,0.79124
0.100747,1.555145,0.78741
0.101414,1.555783,0.791027
0.102243,1.541176,0.789257
0.1003,1.552546,0.796513
